                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7598,                 3.6661,                 1.7817,                0.27753,                 0.2578,                0.13435,                 0.0544,                 1.9337,                 3.0388,                 2.0243,             0.00027607,             0.00027607,             0.00027607
                      2,                 1.7312,                 2.6284,                  1.745,                0.16456,                0.22919,                 0.1159,                0.04211,                 2.0093,                 3.3722,                 2.1384,             0.00054826,             0.00054826,             0.00054826
                      3,                 1.7151,                 2.5076,                 1.7424,                0.28292,                 0.2821,                0.20555,                0.08346,                 1.9911,                  2.805,                 2.0564,             0.00081494,             0.00081494,             0.00081494
                      4,                 1.7049,                 2.4235,                  1.727,                0.38406,                0.24165,                0.22478,                0.08681,                 2.0586,                  2.675,                 2.0661,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.6911,                 2.3623,                 1.7211,                0.22692,                0.26111,                0.21493,                0.08497,                 2.0961,                 2.4982,                 2.0594,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.6434,                 2.2582,                 1.6764,                0.29449,                0.38226,                0.30308,                0.13104,                 1.8677,                 2.4314,                 1.9012,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.6081,                 2.2044,                 1.6562,                 0.4655,                0.39051,                0.37437,                0.18011,                 1.7927,                 2.2927,                 1.8228,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.5481,                 2.1484,                  1.632,                0.37862,                0.40073,                0.35124,                0.17789,                 1.7195,                  2.127,                 1.7536,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.5342,                 2.1393,                  1.629,                0.39005,                0.38601,                0.38273,                0.19323,                 1.7574,                 2.2016,                 1.8198,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.5319,                 2.0529,                 1.6172,                0.45069,                0.41865,                0.41392,                0.21282,                 1.7119,                 2.1139,                 1.7679,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.5036,                 2.0025,                 1.5776,                0.45328,                0.40925,                0.40104,                0.20378,                 1.7321,                 2.1125,                  1.778,             0.00075053,             0.00075053,             0.00075053
                     12,                  1.474,                 1.9779,                 1.5728,                 0.4695,                0.42765,                0.40531,                0.21072,                 1.7381,                 2.0395,                 1.8027,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.4833,                 1.9593,                 1.5806,                  0.461,                0.38799,                0.36923,                0.17258,                  1.821,                 2.1609,                 1.8427,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.4466,                 1.9271,                 1.5496,                0.45801,                 0.4139,                0.40422,                0.21186,                 1.6909,                  2.034,                 1.7457,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.4505,                 1.8879,                 1.5565,                0.48821,                0.47058,                0.43266,                0.21992,                 1.6722,                 2.0027,                 1.7231,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.4075,                 1.8795,                  1.524,                0.50317,                0.42343,                0.42094,                0.21138,                 1.7176,                 2.0461,                 1.7924,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.4118,                 1.8473,                 1.5309,                0.49602,                0.46796,                0.44567,                0.22986,                 1.7279,                 1.9993,                 1.7678,             0.00070105,             0.00070105,             0.00070105
                     18,                 1.4102,                 1.8076,                 1.5244,                0.53889,                0.46373,                0.46355,                0.23676,                 1.7197,                 2.0185,                 1.7941,             0.00069281,             0.00069281,             0.00069281
                     19,                 1.3931,                 1.7989,                 1.5248,                0.55066,                0.47522,                0.44913,                0.23441,                 1.6907,                 1.9135,                 1.7563,             0.00068456,             0.00068456,             0.00068456
                     20,                 1.3767,                 1.7733,                 1.5036,                0.53781,                0.46261,                0.48126,                0.24927,                 1.6979,                 1.9132,                 1.7403,             0.00067631,             0.00067631,             0.00067631
                     21,                 1.3757,                 1.7384,                 1.5053,                0.49254,                0.53775,                0.49247,                0.26688,                 1.6651,                 1.8691,                 1.7338,             0.00066807,             0.00066807,             0.00066807
                     22,                 1.3587,                 1.6913,                 1.4953,                 0.6063,                0.46389,                0.49684,                0.26468,                 1.6888,                 1.8961,                 1.7518,             0.00065982,             0.00065982,             0.00065982
                     23,                  1.354,                 1.7065,                 1.5023,                0.57781,                0.47654,                0.47964,                0.25153,                 1.7278,                 1.8929,                 1.7808,             0.00065157,             0.00065157,             0.00065157
                     24,                 1.3594,                 1.6715,                  1.492,                0.56684,                 0.4741,                0.47967,                0.25565,                 1.7073,                 1.9364,                 1.7611,             0.00064333,             0.00064333,             0.00064333
                     25,                 1.3351,                 1.6538,                 1.4762,                0.57667,                0.47945,                0.48438,                0.24654,                 1.7487,                 1.8086,                 1.8029,             0.00063508,             0.00063508,             0.00063508
                     26,                 1.3182,                  1.621,                  1.461,                0.51403,                0.49157,                0.48344,                0.26096,                  1.678,                 1.8616,                 1.7656,             0.00062683,             0.00062683,             0.00062683
                     27,                 1.3087,                 1.5867,                 1.4601,                 0.5631,                0.49885,                0.50445,                0.26626,                 1.7188,                 1.8789,                   1.78,             0.00061859,             0.00061859,             0.00061859
                     28,                 1.2962,                 1.5825,                  1.449,                0.59913,                0.46496,                0.48658,                0.25815,                 1.6949,                 1.8395,                 1.7562,             0.00061034,             0.00061034,             0.00061034
                     29,                 1.3049,                 1.5733,                 1.4628,                0.50874,                0.56006,                0.50993,                0.28104,                 1.7045,                 1.8037,                 1.7778,             0.00060209,             0.00060209,             0.00060209
                     30,                 1.2872,                 1.5413,                 1.4404,                0.56778,                 0.5005,                0.49563,                0.26459,                 1.7386,                  1.819,                 1.8039,             0.00059385,             0.00059385,             0.00059385
                     31,                 1.2879,                 1.5168,                 1.4433,                0.62183,                 0.5385,                0.54285,                0.30073,                 1.7025,                 1.7624,                 1.7496,              0.0005856,              0.0005856,              0.0005856
                     32,                 1.2803,                 1.5047,                 1.4277,                0.56759,                0.53471,                0.51589,                0.28915,                 1.6729,                  1.754,                 1.7189,             0.00057735,             0.00057735,             0.00057735
                     33,                 1.2684,                 1.4954,                 1.4206,                0.61287,                0.50958,                0.51691,                0.28972,                  1.688,                  1.788,                 1.7855,             0.00056911,             0.00056911,             0.00056911
                     34,                 1.2527,                  1.435,                 1.4129,                0.62482,                0.51645,                0.54132,                 0.3079,                 1.6667,                 1.7317,                 1.7532,             0.00056086,             0.00056086,             0.00056086
                     35,                  1.249,                  1.443,                 1.4124,                0.60149,                0.51279,                0.53585,                0.29777,                  1.711,                 1.7743,                 1.8055,             0.00055261,             0.00055261,             0.00055261
                     36,                 1.2306,                  1.408,                 1.4013,                0.60194,                0.55012,                0.53914,                0.29232,                 1.7043,                 1.7849,                 1.8145,             0.00054437,             0.00054437,             0.00054437
                     37,                 1.2329,                 1.4153,                 1.4037,                0.55603,                0.52663,                0.51335,                0.28575,                  1.748,                 1.7975,                 1.8305,             0.00053612,             0.00053612,             0.00053612
                     38,                 1.2358,                 1.3932,                 1.3982,                0.61056,                0.54445,                0.53276,                0.29382,                   1.72,                 1.7598,                 1.8127,             0.00052787,             0.00052787,             0.00052787
                     39,                 1.2035,                 1.3702,                  1.383,                0.63718,                0.51306,                0.54585,                0.30665,                 1.6619,                 1.6823,                 1.7487,             0.00051963,             0.00051963,             0.00051963
                     40,                 1.2201,                 1.3554,                 1.3932,                 0.6294,                0.51632,                0.51262,                0.28484,                 1.6826,                 1.7892,                 1.7885,             0.00051138,             0.00051138,             0.00051138
                     41,                 1.1833,                 1.3284,                  1.369,                0.64907,                0.54198,                0.54542,                0.32027,                 1.6967,                 1.7072,                 1.8175,             0.00050313,             0.00050313,             0.00050313
                     42,                 1.1926,                 1.3278,                 1.3803,                0.63398,                0.53615,                 0.5356,                0.31024,                  1.675,                 1.7153,                 1.7821,             0.00049489,             0.00049489,             0.00049489
                     43,                 1.1968,                 1.3074,                 1.3662,                0.61952,                0.54285,                0.53268,                0.29617,                 1.6701,                 1.7242,                 1.8042,             0.00048664,             0.00048664,             0.00048664
                     44,                 1.1902,                 1.2876,                 1.3662,                0.56867,                 0.5622,                0.54554,                0.30792,                 1.6813,                 1.7135,                 1.7687,             0.00047839,             0.00047839,             0.00047839
                     45,                 1.1708,                 1.2604,                 1.3436,                 0.6245,                0.55598,                0.54686,                 0.3209,                 1.6778,                 1.6535,                 1.7925,             0.00047015,             0.00047015,             0.00047015
                     46,                 1.1721,                 1.2574,                 1.3492,                0.58796,                0.54298,                0.52414,                0.29746,                  1.645,                 1.6772,                 1.7548,              0.0004619,              0.0004619,              0.0004619
                     47,                 1.1605,                 1.2596,                 1.3496,                0.61474,                 0.5305,                0.52216,                0.28499,                 1.7028,                 1.6996,                 1.8385,             0.00045365,             0.00045365,             0.00045365
                     48,                 1.1439,                 1.2269,                 1.3368,                0.66034,                0.51622,                0.54441,                  0.312,                 1.6747,                 1.7138,                 1.7944,             0.00044541,             0.00044541,             0.00044541
                     49,                 1.1438,                   1.21,                 1.3351,                0.66864,                0.53062,                0.55288,                 0.3171,                  1.664,                 1.6946,                 1.7943,             0.00043716,             0.00043716,             0.00043716
                     50,                 1.1262,                 1.1853,                 1.3216,                   0.61,                0.54103,                0.52012,                0.29833,                   1.66,                 1.6874,                 1.7885,             0.00042891,             0.00042891,             0.00042891
                     51,                 1.1128,                 1.1771,                 1.3112,                0.62796,                0.53733,                0.54676,                0.31594,                 1.6623,                 1.6759,                 1.8004,             0.00042066,             0.00042066,             0.00042066
                     52,                 1.1145,                 1.1678,                  1.316,                0.64332,                 0.5087,                0.53869,                0.31069,                 1.6946,                 1.7494,                 1.8172,             0.00041242,             0.00041242,             0.00041242
                     53,                 1.1011,                 1.1553,                 1.3088,                0.63463,                0.53903,                0.54684,                 0.3079,                 1.6691,                 1.6948,                 1.7955,             0.00040417,             0.00040417,             0.00040417
                     54,                 1.1073,                 1.1421,                 1.3094,                0.60892,                 0.5382,                0.54169,                0.30133,                 1.6928,                 1.6625,                 1.8156,             0.00039592,             0.00039592,             0.00039592
                     55,                 1.0849,                 1.1224,                 1.2999,                0.60545,                0.54292,                0.52869,                0.30349,                 1.6981,                 1.6782,                  1.831,             0.00038768,             0.00038768,             0.00038768
                     56,                 1.0767,                 1.1106,                 1.2883,                0.62095,                0.53251,                0.52993,                0.29926,                 1.6801,                 1.6873,                 1.8092,             0.00037943,             0.00037943,             0.00037943
                     57,                 1.0737,                 1.0815,                  1.279,                0.60305,                0.54741,                0.53184,                0.30098,                 1.7053,                 1.7451,                 1.8611,             0.00037118,             0.00037118,             0.00037118
                     58,                 1.0769,                 1.0992,                 1.2933,                0.69839,                 0.4915,                0.54294,                0.30587,                 1.7139,                 1.7047,                 1.8812,             0.00036294,             0.00036294,             0.00036294
                     59,                 1.0708,                 1.0805,                 1.2938,                0.61598,                0.52203,                0.53114,                0.30537,                 1.6459,                 1.6892,                 1.8133,             0.00035469,             0.00035469,             0.00035469
                     60,                 1.0706,                  1.062,                 1.2796,                0.66148,                0.53066,                0.54157,                0.31075,                 1.6904,                 1.6651,                 1.8688,             0.00034644,             0.00034644,             0.00034644
                     61,                 1.0535,                 1.0546,                 1.2697,                 0.6925,                 0.5102,                0.53999,                0.31061,                   1.68,                 1.7254,                 1.8471,              0.0003382,              0.0003382,              0.0003382
                     62,                  1.039,                 1.0261,                  1.262,                0.66024,                0.54127,                0.55369,                 0.3183,                 1.6777,                 1.6832,                 1.8348,             0.00032995,             0.00032995,             0.00032995
                     63,                 1.0247,                   1.05,                 1.2635,                0.64033,                0.52042,                0.54003,                0.30985,                 1.6966,                 1.6959,                 1.8784,              0.0003217,              0.0003217,              0.0003217
                     64,                 1.0339,                 1.0377,                 1.2565,                0.63131,                0.54664,                0.54641,                0.31048,                 1.6999,                 1.6775,                 1.8708,             0.00031346,             0.00031346,             0.00031346
                     65,                 1.0135,                 1.0063,                 1.2513,                0.66359,                0.53281,                0.55177,                0.31483,                 1.7069,                 1.7416,                  1.885,             0.00030521,             0.00030521,             0.00030521
                     66,                 1.0176,                   1.01,                 1.2488,                0.63543,                0.53712,                0.55375,                0.32763,                  1.678,                 1.6181,                 1.8551,             0.00029696,             0.00029696,             0.00029696
                     67,                   1.01,                0.98568,                 1.2464,                 0.6436,                0.52612,                0.53812,                0.30545,                 1.7609,                 1.7024,                 1.9067,             0.00028872,             0.00028872,             0.00028872
                     68,                0.98438,                 0.9732,                  1.229,                0.65399,                0.53924,                0.53656,                0.29807,                 1.7146,                 1.7352,                 1.8712,             0.00028047,             0.00028047,             0.00028047
                     69,                0.99679,                0.98069,                 1.2476,                0.66074,                0.53509,                0.55714,                 0.3135,                 1.7096,                 1.6775,                 1.8773,             0.00027222,             0.00027222,             0.00027222
                     70,                0.99552,                0.95543,                 1.2308,                0.61417,                0.54231,                0.52988,                 0.2983,                 1.7338,                 1.7612,                 1.9272,             0.00026398,             0.00026398,             0.00026398
                     71,                0.98511,                0.96502,                   1.23,                0.64903,                0.52537,                0.55407,                 0.3082,                 1.7384,                 1.6905,                 1.9308,             0.00025573,             0.00025573,             0.00025573
                     72,                0.98342,                0.94105,                 1.2253,                0.62327,                0.54492,                0.54272,                0.31169,                 1.6787,                 1.6715,                 1.8675,             0.00024748,             0.00024748,             0.00024748
                     73,                0.97895,                0.93297,                 1.2207,                0.66023,                0.52648,                 0.5404,                0.31258,                 1.6814,                 1.7065,                  1.866,             0.00023924,             0.00023924,             0.00023924
                     74,                0.96711,                0.91612,                 1.2141,                0.63428,                  0.553,                0.54458,                0.31092,                 1.6763,                 1.6884,                 1.8834,             0.00023099,             0.00023099,             0.00023099
                     75,                0.95273,                0.91014,                 1.2087,                0.65822,                0.51785,                0.53219,                 0.3123,                 1.6873,                 1.7146,                 1.8772,             0.00022274,             0.00022274,             0.00022274
                     76,                0.95633,                0.90725,                 1.2053,                0.65631,                 0.5316,                0.53327,                0.30869,                 1.6963,                 1.7034,                 1.8858,              0.0002145,              0.0002145,              0.0002145
                     77,                0.95116,                 0.9022,                 1.2024,                0.62905,                0.54479,                0.54064,                0.30683,                 1.7131,                 1.6646,                 1.9071,             0.00020625,             0.00020625,             0.00020625
                     78,                0.92298,                0.87778,                 1.1921,                0.60409,                0.54568,                0.53804,                 0.3059,                  1.706,                 1.7369,                 1.9157,               0.000198,               0.000198,               0.000198
                     79,                0.92451,                0.89591,                 1.1966,                0.66901,                0.52075,                0.53752,                0.31165,                 1.7311,                 1.7214,                 1.9373,             0.00018976,             0.00018976,             0.00018976
                     80,                0.93246,                0.88238,                 1.1959,                0.61795,                 0.5594,                0.54954,                0.31247,                 1.6992,                 1.6617,                 1.9058,             0.00018151,             0.00018151,             0.00018151
                     81,                0.91303,                0.85754,                 1.1815,                0.60729,                0.54821,                0.53573,                0.31052,                  1.692,                 1.7316,                 1.9013,             0.00017326,             0.00017326,             0.00017326
                     82,                0.90702,                0.84157,                 1.1781,                  0.658,                 0.5284,                 0.5463,                0.31065,                 1.7238,                 1.7303,                 1.9312,             0.00016502,             0.00016502,             0.00016502
                     83,                0.90879,                0.84137,                 1.1835,                0.61449,                0.56078,                0.54414,                0.31507,                 1.7091,                 1.7233,                 1.9249,             0.00015677,             0.00015677,             0.00015677
                     84,                  0.903,                0.83947,                   1.18,                0.62228,                0.55202,                  0.527,                0.30452,                 1.7165,                 1.7451,                 1.9341,             0.00014852,             0.00014852,             0.00014852
                     85,                0.91052,                0.83442,                 1.1721,                0.60865,                0.58247,                0.54826,                0.31495,                 1.6867,                 1.6916,                 1.9176,             0.00014028,             0.00014028,             0.00014028
                     86,                0.89789,                0.83341,                 1.1758,                0.63616,                0.56223,                0.54882,                0.31424,                  1.691,                 1.7386,                 1.8985,             0.00013203,             0.00013203,             0.00013203
                     87,                0.88894,                0.82031,                 1.1678,                0.65736,                0.52703,                0.53494,                 0.3065,                 1.7088,                 1.7825,                 1.9386,             0.00012378,             0.00012378,             0.00012378
                     88,                0.89024,                0.80781,                 1.1658,                0.67126,                0.52021,                0.54319,                0.30633,                 1.7315,                 1.7652,                 1.9729,             0.00011554,             0.00011554,             0.00011554
                     89,                0.88149,                0.80548,                 1.1623,                0.68007,                0.52413,                0.54829,                0.30544,                 1.7255,                 1.7098,                 1.9683,             0.00010729,             0.00010729,             0.00010729
                     90,                0.87625,                0.80123,                 1.1614,                0.63183,                0.53203,                0.54037,                0.30354,                 1.7331,                 1.7298,                 1.9805,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.86232,                 0.6851,                 1.1842,                0.63422,                0.54009,                0.53721,                0.30442,                   1.72,                 1.7493,                 1.9678,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                 0.8334,                0.62375,                 1.1614,                0.62796,                 0.5584,                  0.539,                0.30727,                  1.721,                 1.7359,                 1.9778,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.80679,                0.62037,                  1.147,                0.61381,                0.57122,                0.54844,                0.31548,                 1.6996,                 1.7153,                 1.9691,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                 0.8108,                0.60755,                   1.15,                0.64706,                0.54787,                0.54567,                0.31622,                 1.6863,                 1.7142,                 1.9484,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.79991,                0.59822,                 1.1421,                 0.6181,                0.55856,                0.54039,                 0.3129,                 1.6925,                 1.7239,                 1.9562,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.79144,                 0.5892,                 1.1376,                0.65826,                0.53641,                0.53692,                0.30894,                 1.7183,                 1.7485,                 2.0115,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.78026,                0.58663,                 1.1295,                0.66518,                0.53495,                0.53939,                0.31216,                 1.7025,                 1.7169,                 2.0005,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                 0.7713,                0.57952,                 1.1274,                0.65834,                0.55007,                0.54461,                0.31017,                 1.7323,                 1.7023,                 2.0471,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.76648,                0.57327,                 1.1177,                 0.6663,                0.54763,                0.53923,                 0.3104,                 1.7172,                  1.707,                 2.0252,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.76453,                 0.5692,                 1.1162,                0.65842,                0.54892,                0.54147,                0.31129,                 1.7182,                 1.7108,                 2.0258,             1.6577e-05,             1.6577e-05,             1.6577e-05
